date,HAL
2022-08-12 15:35:00+05:30,
2022-08-16 15:35:00+05:30,
2022-08-17 15:35:00+05:30,
2022-08-18 15:35:00+05:30,
2022-08-19 15:35:00+05:30,
2022-08-22 15:35:00+05:30,
2022-08-23 15:35:00+05:30,6.0
2022-08-24 15:35:00+05:30,6.0
2022-08-25 15:35:00+05:30,6.0
2022-08-26 15:35:00+05:30,
2022-08-29 15:35:00+05:30,
2022-08-30 15:35:00+05:30,
2022-09-01 15:35:00+05:30,
2022-09-02 15:35:00+05:30,
2022-09-05 15:35:00+05:30,
2022-09-06 15:35:00+05:30,
2022-09-07 15:35:00+05:30,
2022-09-08 15:35:00+05:30,
2022-09-09 15:35:00+05:30,
2022-09-12 15:35:00+05:30,
2022-09-13 15:35:00+05:30,
2022-09-14 15:35:00+05:30,
2022-09-15 15:35:00+05:30,
2022-09-16 15:35:00+05:30,
2022-09-19 15:35:00+05:30,6.0
2022-09-20 15:35:00+05:30,6.0
2022-09-21 15:35:00+05:30,6.0
2022-09-22 15:35:00+05:30,6.0
2022-09-23 15:35:00+05:30,6.0
2022-09-26 15:35:00+05:30,6.0
2022-09-27 15:35:00+05:30,6.0
2022-09-28 15:35:00+05:30,6.0
2022-09-29 15:35:00+05:30,6.0
2022-09-30 15:35:00+05:30,6.0
2022-10-03 15:35:00+05:30,6.0
2022-10-04 15:35:00+05:30,6.0
2022-10-06 15:35:00+05:30,6.0
2022-10-07 15:35:00+05:30,6.0
2022-10-10 15:35:00+05:30,6.0
2022-10-11 15:35:00+05:30,6.0
2022-10-12 15:35:00+05:30,6.0
2022-10-13 15:35:00+05:30,6.0
2022-10-14 15:35:00+05:30,6.0
2022-10-17 15:35:00+05:30,6.0
2022-10-18 15:35:00+05:30,6.0
2022-10-19 15:35:00+05:30,
2022-10-20 15:35:00+05:30,
2022-10-21 15:35:00+05:30,6.0
2022-10-25 15:35:00+05:30,
2022-10-27 15:35:00+05:30,6.0
2022-10-28 15:35:00+05:30,6.0
2022-10-31 15:35:00+05:30,
2022-11-01 15:35:00+05:30,6.0
2022-11-02 15:35:00+05:30,6.0
2022-11-03 15:35:00+05:30,
2022-11-04 15:35:00+05:30,6.0
2022-11-07 15:35:00+05:30,
2022-11-09 15:35:00+05:30,6.0
2022-11-10 15:35:00+05:30,6.0
2022-11-11 15:35:00+05:30,6.0
2022-11-14 15:35:00+05:30,6.0
2022-11-15 15:35:00+05:30,6.0
2022-11-16 15:35:00+05:30,
2022-11-17 15:35:00+05:30,6.0
2022-11-18 15:35:00+05:30,6.0
2022-11-21 15:35:00+05:30,6.0
2022-11-22 15:35:00+05:30,6.0
2022-11-23 15:35:00+05:30,6.0
2022-11-24 15:35:00+05:30,
2022-11-25 15:35:00+05:30,6.0
2022-11-28 15:35:00+05:30,6.0
2022-11-29 15:35:00+05:30,6.0
2022-11-30 15:35:00+05:30,6.0
2022-12-01 15:35:00+05:30,6.0
2022-12-02 15:35:00+05:30,
2022-12-05 15:35:00+05:30,6.0
2022-12-06 15:35:00+05:30,
2022-12-07 15:35:00+05:30,6.0
2022-12-08 15:35:00+05:30,6.0
2022-12-09 15:35:00+05:30,6.0
2022-12-12 15:35:00+05:30,6.0
2022-12-13 15:35:00+05:30,6.0
2022-12-14 15:35:00+05:30,6.0
2022-12-15 15:35:00+05:30,6.0
2022-12-16 15:35:00+05:30,6.0
2022-12-19 15:35:00+05:30,6.0
2022-12-20 15:35:00+05:30,6.0
2022-12-21 15:35:00+05:30,6.0
2022-12-22 15:35:00+05:30,6.0
2022-12-23 15:35:00+05:30,6.0
2022-12-26 15:35:00+05:30,6.0
2022-12-27 15:35:00+05:30,6.0
2022-12-28 15:35:00+05:30,6.0
2022-12-29 15:35:00+05:30,6.0
2022-12-30 15:35:00+05:30,6.0
